storeName,storeAddress,storeTel,storeHours
光明,"台南市東區光明街14、16號1-2F,台南市,台南市東區,701",(06)2368770,一~日10:00AM-11:00PM
光華,"新北市蘆洲區光華路38號1-3F,新北市,新北市蘆洲區,247",(02)22839078,一~日10:00AM-11:00PM
內埔,"屏東縣內埔鄉廣濟路179、181號1-3F,屏東縣,屏東縣內埔鄉,912",(08)7784325,一~日9:30AM-11:00PM
內壢,"桃園市中壢區中華路一段209、211號,桃園市,桃園市中壢區,320",(03)4342842,一~日9:30AM-11:00PM
內湖,"台北市內湖區成功路四段46號,台北市,台北市內湖區,114",(02)27929221,一~日12:00AM-12:00AM
八德,"桃園市八德區介壽路一段950、952號,桃園市,桃園市八德區,334",(03)3612273,一~日9:00AM-11:00PM
公園,"台南市中西區公園路32號,台南市,台南市中西區,700",(06)2241202,一~日10:00AM-11:00PM
公益,"台中市西區公益路175號,台中市,台中市西區,403",(04)2301-6518,一~日10:00AM-12:00AM
公館,"苗栗縣公館鄉大同路154、156號,苗栗縣,苗栗縣公館鄉,363  ",(037)239647         ,一~日10:00AM-10:30PM
六合,"高雄市新興區六合一路94號,高雄市,高雄市新興區,800  ",(07)2371708         ,一~日9:30AM-11:00PM
六合2,"高雄市新興區六合二路86號1樓,高雄市,高雄市新興區,80049",(07)2851376,一~日12:00AM-12:00AM
六合發,"高雄市新興區六合二路14號,高雄市,高雄市新興區,800",(07)2853708,一~日10:30AM-2:00AM
六甲,"台南市六甲區中山路2號1-5F,台南市,台南市六甲區,734",(06)6991748,一~日9:00AM-10:00PM
劍潭,"台北市士林區大東路11-7號1樓,台北市,台北市士林區,11162",(02)28827326,一~日11:00AM-2:00AM
劍潭2,"台北市士林區劍潭路15號,台北市,台北市士林區,11167",(02)28818356,一~日8:00AM-11:00PM
力行,"新北市三重區忠孝路二段107號、力行路一段183號,新北市,新北市三重區,241",(02)29849484,一~日10:00AM-11:00PM
勝利,"台南市東區勝利路157號1-3F,台南市,台南市東區,701  ",(06)2367417         ,一~日10:00AM-11:30PM
勤益,"台中市太平區中山路一段215巷1、3號1-2F,台中市,台中市太平區,411",(04)23919289,一~日10:30AM-11:00PM
北埔,"桃園市桃園區中正路513號1-4F,桃園市,桃園市桃園區,330",(03)3316084,一~日12:00AM-12:00AM
北大,"新竹市北區西大路558號,新竹市,新竹市北區,300",(03)5278463,一~日12:00AM-12:00AM
北投,"台北市北投區光明路223、223-1號,台北市,台北市北投區,112  ",(02)28964701        ,一~日10:00AM-11:00PM
北投二,"台北市北投區中和街319號1-3樓、321號1樓,台北市,台北市北投區,11252",(02)28957295,一~日9:30AM-10:30PM
北斗,"彰化縣北斗鎮中華路261號1-5F,彰化縣,彰化縣北斗鎮,521",(04)8888117,一~日9:30AM-11:00PM
北新,"新北市新店區北新路三段77號,新北市,新北市新店區,231",(02)29157636,一~日10:00AM-12:00AM
北港,"雲林縣北港鎮民主路98、100號1-3F,雲林縣,雲林縣北港鎮,651",(05)7825108,一~日9:00AM-10:30PM
北辰,"澎湖縣馬公市中華路59-2、59-3號1-2F,澎湖縣,澎湖縣馬公市,880  ",(06)9269149         ,一~日9:00AM-11:00PM
